STATE,ST,GUN VIOLENCE DEATHS PER CAPITA,YEAR,MEDIAN INCOME,OCCUPATION,TOTAL EMPLOYEES,LOCATION,DATE,TOTAL GUN VIOLENCE VICTIMS FROM MASS SHOOTING,TOTAL FIREARMS REPORTS AS LOST OR STOLEN,NUMBER OF REGISTERED FIREARMS
West Virginia NA,NA,NA,2008,37989,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2008,37790,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,NA,2009,41216,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,NA,2009,64635,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,NA,2009,50296,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,NA,2009,38542,NA,NA,NA,NA,NA,NA,NA
California NA,NA,NA,2009,60392,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,NA,2009,56222,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,NA,2009,67721,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,NA,2009,57618,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,NA,2009,47450,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,NA,2009,49466,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,NA,2009,64661,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,NA,2009,46183,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,NA,2009,55222,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,NA,2009,47465,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,NA,2009,48052,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,NA,2009,48394,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,NA,2009,41197,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,NA,2009,42167,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,NA,2009,46541,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,NA,2009,69475,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,NA,2009,64496,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,NA,2009,48700,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,NA,2009,57007,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2009,36796,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,NA,2009,46005,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,NA,2009,43089,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,NA,2009,47995,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,NA,2009,55585,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,NA,2009,63033,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,NA,2009,68981,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,NA,2009,42742,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,NA,2009,55233,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,NA,2009,45069,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,NA,2009,45140,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,NA,2009,47144,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,NA,2009,41861,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,NA,2009,49033,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,NA,2009,49737,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,NA,2009,55569,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,NA,2009,43572,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,NA,2009,44828,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,NA,2009,42943,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,NA,2009,48199,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,NA,2009,55642,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,NA,2009,51284,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,NA,2009,60316,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,NA,2009,56384,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,NA,2009,37356,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,NA,2009,51569,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,NA,2009,51990,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,NA,2010,42081,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,NA,2010,66521,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,NA,2010,50448,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,NA,2010,39267,NA,NA,NA,NA,NA,NA,NA
California NA,NA,NA,2010,60883,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,NA,2010,56456,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,NA,2010,67740,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,NA,2010,57599,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,NA,2010,47661,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,NA,2010,49347,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,NA,2010,66420,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,NA,2010,46423,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,NA,2010,55735,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,NA,2010,47697,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,NA,2010,48872,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,NA,2010,49424,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,NA,2010,41576,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,NA,2010,43445,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,NA,2010,46933,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,NA,2010,70647,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,NA,2010,64509,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,NA,2010,48432,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,NA,2010,57243,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2010,37881,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,NA,2010,46262,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,NA,2010,43872,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,NA,2010,49342,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,NA,2010,55726,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,NA,2010,63277,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,NA,2010,69811,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,NA,2010,43820,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,NA,2010,55603,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,NA,2010,45570,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,NA,2010,46781,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,NA,2010,47358,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,NA,2010,42979,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,NA,2010,49260,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,NA,2010,50398,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,NA,2010,54902,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,NA,2010,43939,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,NA,2010,46369,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,NA,2010,43314,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,NA,2010,49646,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,NA,2010,56330,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,NA,2010,51841,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,NA,2010,61406,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,NA,2010,57244,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,NA,2010,38380,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,NA,2010,51598,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,NA,2010,53802,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,NA,2011,52664,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,NA,2011,79617,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,NA,2011,57477,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,NA,2011,49212,NA,NA,NA,NA,NA,NA,NA
California NA,NA,NA,2011,67745,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,NA,2011,70461,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,NA,2011,84558,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,NA,2011,70218,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,NA,2011,55043,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,NA,2011,57018,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,NA,2011,77385,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,NA,2011,53805,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,NA,2011,67892,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,NA,2011,57996,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,NA,2011,63433,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,NA,2011,63317,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,NA,2011,52123,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,NA,2011,54730,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,NA,2011,59547,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,NA,2011,86056,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,NA,2011,82009,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,NA,2011,58632,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,NA,2011,71826,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2011,47003,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,NA,2011,57917,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,NA,2011,56895,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,NA,2011,63618,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,NA,2011,60964,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,NA,2011,77178,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,NA,2011,85005,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,NA,2011,53054,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,NA,2011,68161,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,NA,2011,55338,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,NA,2011,67126,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,NA,2011,59193,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,NA,2011,54263,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,NA,2011,59494,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,NA,2011,64331,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,NA,2011,70360,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,NA,2011,53345,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,NA,2011,61794,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,NA,2011,52889,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,NA,2011,58929,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,NA,2011,64095,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,NA,2011,65959,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,NA,2011,74766,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,NA,2011,69979,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,NA,2011,50295,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,NA,2011,64492,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,NA,2011,68694,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,NA,2012,43160,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,NA,2012,69917,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,NA,2012,50256,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,NA,2012,40531,NA,NA,NA,NA,NA,NA,NA
California NA,NA,NA,2012,61400,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,NA,2012,58244,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,NA,2012,69519,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,NA,2012,60119,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,NA,2012,47309,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,NA,2012,49604,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,NA,2012,67492,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,NA,2012,47015,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,NA,2012,56853,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,NA,2012,48374,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,NA,2012,51129,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,NA,2012,51273,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,NA,2012,42610,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,NA,2012,44673,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,NA,2012,48219,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,NA,2012,72999,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,NA,2012,66658,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,NA,2012,48471,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,NA,2012,59126,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2012,38882,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,NA,2012,47333,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,NA,2012,45456,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,NA,2012,51381,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,NA,2012,54083,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,NA,2012,64925,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,NA,2012,71637,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,NA,2012,44886,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,NA,2012,57683,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,NA,2012,46450,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,NA,2012,51641,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,NA,2012,48246,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,NA,2012,44891,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,NA,2012,50036,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,NA,2012,52267,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,NA,2012,56102,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,NA,2012,44623,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,NA,2012,49091,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,NA,2012,44140,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,NA,2012,51563,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,NA,2012,58164,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,NA,2012,54168,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,NA,2012,63636,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,NA,2012,59374,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,NA,2012,40400,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,NA,2012,52627,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,NA,2012,56573,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,NA,2013,54362,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,NA,2013,82870,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,NA,2013,58897,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,NA,2013,50759,NA,NA,NA,NA,NA,NA,NA
California NA,NA,NA,2013,69661,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,NA,2013,72687,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,NA,2013,87245,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,NA,2013,71811,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,NA,2013,56738,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,NA,2013,58755,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,NA,2013,79963,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,NA,2013,55905,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,NA,2013,70344,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,NA,2013,59911,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,NA,2013,65802,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,NA,2013,65069,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,NA,2013,54279,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,NA,2013,56288,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,NA,2013,61107,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,NA,2013,88738,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,NA,2013,84900,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,NA,2013,60793,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,NA,2013,74683,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2013,48471,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,NA,2013,59527,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,NA,2013,59743,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,NA,2013,65328,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,NA,2013,61359,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,NA,2013,79886,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,NA,2013,87347,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,NA,2013,54513,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,NA,2013,70670,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,NA,2013,56928,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,NA,2013,70767,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,NA,2013,61371,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,NA,2013,56464,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,NA,2013,61609,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,NA,2013,66646,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,NA,2013,72717,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,NA,2013,55058,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,NA,2013,63195,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,NA,2013,54779,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,NA,2013,61066,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,NA,2013,66646,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,NA,2013,68111,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,NA,2013,76754,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,NA,2013,72168,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,NA,2013,52165,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,NA,2013,66534,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,NA,2013,70868,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,NA,2014,54724,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,NA,2014,83714,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,NA,2014,59088,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,NA,2014,51464,NA,NA,NA,NA,NA,NA,NA
California NA,NA,NA,2014,70187,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,NA,2014,73817,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,NA,2014,88217,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,NA,2014,72683,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,NA,2014,57176,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,NA,2014,59068,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,NA,2014,80371,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,NA,2014,56922,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,NA,2014,70967,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,NA,2014,60440,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,NA,2014,66829,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,NA,2014,65804,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,NA,2014,54928,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,NA,2014,56755,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,NA,2014,61824,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,NA,2014,89416,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,NA,2014,86132,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,NA,2014,61684,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,NA,2014,76190,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2014,49125,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,NA,2014,60414,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,NA,2014,60581,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,NA,2014,66188,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,NA,2014,61081,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,NA,2014,80812,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,NA,2014,87999,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,NA,2014,54801,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,NA,2014,71419,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,NA,2014,57328,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,NA,2014,72770,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,NA,2014,62104,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,NA,2014,57299,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,NA,2014,61890,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,NA,2014,67521,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,NA,2014,73217,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,NA,2014,55506,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,NA,2014,64636,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,NA,2014,55459,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,NA,2014,61958,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,NA,2014,67612,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,NA,2014,68787,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,NA,2014,77939,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,NA,2014,73039,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,NA,2014,52875,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,NA,2014,67232,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,NA,2014,72086,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,NA,2015,57160,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,NA,2015,86376,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,NA,2015,61042,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,NA,2015,52449,NA,NA,NA,NA,NA,NA,NA
California NA,NA,NA,2015,73581,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,NA,2015,78384,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,NA,2015,91388,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,NA,2015,74931,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,NA,2015,59339,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,NA,2015,61250,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,NA,2015,83823,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,NA,2015,60081,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,NA,2015,73884,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,NA,2015,63165,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,NA,2015,69382,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,NA,2015,69401,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,NA,2015,56187,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,NA,2015,58964,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,NA,2015,64651,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,NA,2015,91567,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,NA,2015,90590,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,NA,2015,63893,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,NA,2015,79893,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,NA,2015,50069,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,NA,2015,62989,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,NA,2015,64061,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,NA,2015,71039,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,NA,2015,63206,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,NA,2015,85873,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,NA,2015,90245,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,NA,2015,56207,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,NA,2015,73854,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,NA,2015,60074,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,NA,2015,79642,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,NA,2015,65176,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,NA,2015,60215,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,NA,2015,66287,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,NA,2015,70194,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,NA,2015,76623,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,NA,2015,59282,NA,NA,NA,NA,NA,NA,NA
